tokenid,pageid,title,wordcount,image_url,image_name,extract
103,766683,Cant (language),18875,,,"A cant is the jargon or language of a group, often employed to exclude or mislead people outside the group. It may also be called a cryptolect, argot, anti-language or secret language. Each term differs slightly in meaning, and their use is inconsistent.
"
104,187269,Extinct language,24376,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Eteocypriot_writing.jpg/50px-Eteocypriot_writing.jpg,Eteocypriot_writing.jpg,"An extinct language is a language that no longer has any speakers, especially if the language has no living descendants. In contrast, a dead language is ""one that is no longer the native language of any community"", even if it is still in use, like Latin. Languages that currently have living native speakers are sometimes called modern languages to contrast them with dead languages, especially in educational contexts.
In the modern period, languages have typically become extinct as a result of the process of cultural assimilation leading to language shift, and the gradual abandonment of a native language in favour of a foreign lingua franca, largely those of European countries.As of the 2000s, a total of roughly 7,000 natively spoken languages existed worldwide. Most of these are minor languages in danger of extinction; one estimate published in 2004 expected that some 90% of the currently spoken languages will have become extinct by 2050."
105,195445,French language in the United States,34671,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/French_in_the_United_States.png/43px-French_in_the_United_States.png,French_in_the_United_States.png,"The French language is spoken as a minority language in the United States. Roughly 2.10 million Americans over the age of five reported speaking the language at home in a federal 2010 estimate, making French the fourth most-spoken language in the nation behind English, Spanish, and Chinese (when Louisiana French, Haitian Creole and all other French dialects and French-derived creoles are included, and when Cantonese, Mandarin and other varieties of Chinese are similarly combined).Several varieties of French evolved in what is now the United States:

Louisiana French, spoken in Louisiana by descendants of colonists in French Louisiana
New England French, spoken in New England by descendants of 19th and 20th-century Canadian migrants
Missouri French, spoken in Missouri by descendants of French settlers in the Illinois Country
Muskrat French, spoken in Michigan by descendants of habitants, voyageurs and coureurs des bois in the Pays d'en Haut
Métis French, spoken in North Dakota by Métis peopleMore recently, French has also been carried to various parts of the nation via immigration from Francophone regions. Today, French is the second most spoken language (after English) in the states of Maine and Vermont. In Louisiana, it is tied with Spanish for second most spoken if Louisiana French and all creoles such as Haitian are included. French is the third most spoken language (after English and Spanish) in the states of Connecticut, Rhode Island, and New Hampshire.As a second language, French is the second most widely taught foreign language (after Spanish) in American schools, colleges and universities. While the overwhelming majority of Americans of French ancestry grew up speaking only English, some enroll their children in French heritage language classes.
"
107,47862930,Ilocano language,45256,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ilokano_language_map.png/32px-Ilokano_language_map.png,Ilokano_language_map.png,"Ilocano (also Ilokano; ; Ilocano: <i lang=""ilo"" title=""Ilocano language text"">Pagsasao nga Ilokano) is an Austronesian language spoken in the Philippines. It is the third most-spoken native language in the country.
As an Austronesian language, it is related to Malay (Indonesian and Malaysian), Tetum, Chamorro, Fijian, Maori, Hawaiian, Samoan, Tahitian, Paiwan and Malagasy. It is closely related to some of the other Austronesian languages of Northern Luzon, and has slight mutual intelligibility with the Balangao language and the eastern dialects of the Bontoc language. The Ilokano people had their own distinct indigenous writing system and script known as kur-itan. There have been proposals to revive the kur-itan script by teaching it in Ilokano-majority public and private schools in Ilocos Norte and Ilocos Sur."
108,501569,Japonic languages,39426,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Japanese_dialects-en.png/50px-Japanese_dialects-en.png,Japanese_dialects-en.png,"Japonic or Japanese� Ryukyuan is a language family comprising Japanese, spoken in the main islands of Japan, and the Ryukyuan languages, spoken in the Ryukyu Islands. The family is universally accepted by linguists, and significant progress has been made in reconstructing the proto-language. The reconstruction implies a split between all dialects of Japanese and all Ryukyuan varieties, probably before the 7th century. The Hachij language, spoken on the Izu Islands, is also included, but its position within the family is unclear. There is also some fragmentary evidence suggesting that Japonic languages may once have been spoken in central and southern parts of the Korean peninsula (see Peninsular Japonic).
Possible genetic relationships with many other language families have been proposed, most systematically with Koreanic, but none have been conclusively demonstrated.
"
109,3552038,Languages of Egypt,15707,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Eye_of_Horus_bw.svg/50px-Eye_of_Horus_bw.svg.png,Eye_of_Horus_bw.svg,"Egyptians speak a continuum of dialects. The predominant dialect in Egypt is Egyptian Colloquial Arabic or Masri/Masry (<span lang=""ar"" dir=""rtl"" title=""Arabic language text"">مصرى Egyptian), which is the vernacular language. Literary Arabic is the official language and the most widely written; additionally, it is the liturgical language of Islam, the majority religion and state religion of Egypt. The Coptic language is used primarily by Egyptian Copts and it is the liturgical language of Coptic Christianity.
"
110,14407780,Languages of Nepal,18838,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Nepal_ethnic_groups.png/50px-Nepal_ethnic_groups.png,Nepal_ethnic_groups.png,"The 2011 National census lists 123 Nepalese languages spoken as a mother tongue (first language) in Nepal. The discovery of six additional languages since then brings the count to 129. Most belong to the Indo-Aryan and Sino-Tibetan language families. Nepali is the official language, but the other first languages are all recognized national languages.
The official language of Nepal is Nepali, formerly called Khas-Kura, then Gorkhali. According to the 2011 national census, the percentage of Nepali speaking people is about 44.6%. Maithili is the second most spoken language in Nepal at 11.67%. Bhojpuri is the third most spoken language in Nepal at 5.98%. Most of the languages in Nepal are endangered because out of the 129 languages, only 19 of them have more than 100,000 speakers. They are spoken by 95.91% of the total population.
The 2019 annual report of the Language Commission of Nepal registered the discovery that year of the six languages not previously counted. The report was submitted to President Bidhya Bhandari and has been officially approved to be put in the next census. The languages are Rana Tharu, Nar Phu, Chum (Syaar), Nubri (Larke), Poike and Serake (Seke). These languages are spoken in the districts of Kanchapur, Manang, Gorkha, Gorkha, Dolpa, and Mustang respectively.Most of the languages are found exclusively in oral form. Of the languages that are written, most are written using the Devanagari script, with few exceptions such as Limbu, which uses the Limbu script.According to the constitution of Nepal, ""all languages spoken as the mother tongues in Nepal are the languages of the nation"". Many of the languages also have various dialects. For example, the Rai language has about 30 dialects. Sometimes the distinction between dialects or completely different languages is unclear and might differ in opinions from person to person."
111,15069120,Languages of South America,21920,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Languages_of_South_America_%28eng%29.png/43px-Languages_of_South_America_%28eng%29.png,Languages_of_South_America_(eng).png,"The languages of South America can be divided into three broad groups: 

the languages of the (in most cases, former) colonial powers
many indigenous languages, some of which are co-official alongside the colonial languages
and various pockets of other languages spoken by immigrant populations

"
112,5527901,Languages of Taiwan,35697,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Map_of_the_most_commonly_used_home_language_in_Taiwan.svg/37px-Map_of_the_most_commonly_used_home_language_in_Taiwan.svg.png,Map_of_the_most_commonly_used_home_language_in_Taiwan.svg,"The languages of Taiwan consist of several varieties of languages under families of Austronesian languages and Sino-Tibetan languages spoken in Taiwan. The Formosan languages, a branch of Austronesian languages, have been spoken by the Taiwanese aborigines in Taiwan for thousands of years. Researches on historical linguistics recognize Taiwan as the Urheimat (homeland) of the whole Austronesian languages family owing to the highest internal variety of the Formosan languages. In the last 400 years, several waves of Chinese emigrations brought several different Sino-Tibetan languages into Taiwan. These languages include Taiwanese Hokkien, Hakka, and Mandarin, which became the major languages of today's Taiwan and make Taiwan an important center of Hokkien pop and Mandopop.
Formosan languages were the dominant language of prehistorical Taiwan. The long colonial and immigration history of Taiwan brought in several languages such as Dutch, Spanish, Hokkien, Hakka, Japanese and Mandarin. Due to its colonial history, Japanese is also spoken and a large number of loanwords from Japanese exist in several languages of Taiwan.
After World War II, a long martial law era was held in Taiwan. Policies of the government in this era suppressed languages other than Mandarin in public use. This has significantly damaged the evolution of local languages including Taiwanese Hokkien, Hakka, Formosan languages and Matsu dialect. The situation has slightly changed in the 2000s when the government made efforts to protect and revitalize local languages. Local languages became part of elementary school education in Taiwan, laws and regulations regarding local language protection were established for Hakka and Formosan languages, and public TV and radio stations exclusively for these two languages were also established. Currently, the government of Taiwan also maintains standards of several widely spoken languages listed below, the percentage of users are from the 2010 population and household census in Taiwan."
113,12823237,Languages of Venezuela,21578,,,"The languages of Venezuela refers to the official languages and various dialects spoken in established communities within the country. In Venezuela, Castillan is the official language and is the mother tongue of the majority of Venezuelans. Although there is an established official language, there are countless languages of indigenous villages spoken throughout Venezuela, and various regions also have languages of their own.
There are at least forty languages spoken or used in Venezuela, but Spanish is the language spoken by the majority of Venezuelans. The 1999 Constitution of Venezuela declared Spanish and languages spoken by indigenous people from Venezuela as official languages. Deaf people use Venezuelan Sign Language (lengua de señas venezolana, LSV).
Chinese (400,000), Portuguese (254,000) and Italian (200,000), are the most spoken languages in Venezuela after the official language of Spanish. Wayuu is the most spoken indigenous language with 170,000 speakers."
114,554352,Modern Hebrew,49751,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Shalom_black.svg/50px-Shalom_black.svg.png,Shalom_black.svg,"

Modern Hebrew or Israeli Hebrew (Hebrew: <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r974759091""><span dir=""rtl"">עברית חדשה‎, �ivrít ḥadašá[h], <span title=""Representation in the International Phonetic Alphabet (IPA)"">[ivˈʁit χadaˈʃa], lit. ""Modern Hebrew"" or ""New Hebrew""), generally referred to by speakers simply as Hebrew (<span lang=""he"" dir=""rtl"" title=""Hebrew language text"">עברית‎ <i lang=""he-Latn"" title=""Hebrew-language romanization"">Ivrit), is the standard form of the Hebrew language spoken today. Spoken since ancient times, Hebrew, a member of the Canaanite branch of the Semitic language family, was supplanted as the Jewish vernacular by the western dialect of Aramaic beginning in the third century BCE, though it continued to be used as a liturgical and literary language. It was revived as a spoken language in the 19th and 20th centuries and is the official language of Israel.
Modern Hebrew is spoken by about nine million people, counting native, fluent and non-fluent speakers. Most speakers are citizens of Israel: about five million are Israelis who speak Modern Hebrew as their native language, 1.5 million are immigrants to Israel, 1.5 million are Arab citizens of Israel, whose first language is usually Arabic and half a million are expatriate Israelis or diaspora Jews living outside Israel.
The organization that officially directs the development of the Modern Hebrew language, under the law of the State of Israel, is the Academy of the Hebrew Language.
"
115,193178,Official language,35330,,,"An official language, also called state language, is a language given a special status in a particular country, state, or other jurisdiction. Typically a country's official language refers to the language used in government (judiciary, legislature, administration). The term ""official language"" does not typically refer to the language used by a people or country, but by its government.178 countries of the world recognize an official language, 101 of them recognizing more than one. The government of Italy officialised Italian only in 1999, and some nations (such as the United States) have never declared official languages at the national level. Other nations have declared non-indigenous official languages. ""The Philippines and parts of Africa live with a peculiar cultural paradox. Although the official languages [in Africa] may be French or English, these are not the languages most widely spoken by [the country's] residents.""Many of the world's constitutions mention one or more official or national languages. Some countries use the official language designation to empower indigenous groups by giving them access to the government in their native languages. In countries that do not formally designate an official language, a de facto national language usually evolves. English is the most common official language, with recognized status in 51 countries. Arabic, French, and Spanish are also widely recognized.
An official language that is also an indigenous language is called endoglossic, one that is not indigenous is exoglossic. An instance is Nigeria which has three endoglossic official languages. By this the country aims to protect the indigenous languages although at the same time recognising the English language as its lingua franca.
"
116,22975,Polish language,72583,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Map_of_Polish_language.svg/46px-Map_of_Polish_language.svg.png,Map_of_Polish_language.svg,"Polish is a West Slavic language of the Lechitic group. It is spoken primarily in Poland and serves as the native language of the Poles. In addition to being an official language of Poland, it is also used by Polish minorities in other countries. There are over 50 million Polish-language speakers around the world and it is one of the official languages of the European Union.
Polish is written with the standardized Polish alphabet, which has nine additions to the letters of the basic Latin script. Among the major languages, it is most closely related to Slovak and Czech, but differs from other Slavic varieties in terms of pronunciation and general grammar. In addition, Polish was profoundly influenced by Latin and other Italic languages like Italian and French as well as Germanic languages (most notably German), which contributed to a large number of loanwords and similar grammatical structures. Polish currently has the largest number of speakers of the West Slavic group and is also the second most widely spoken Slavic language behind Russian.Historically, Polish was a lingua franca, important both diplomatically and academically in Central and Eastern Europe. Today, Polish is spoken by over 38.5 million people as their first language in Poland. It is also spoken as a second language in Northern Czech Republic and Slovakia, western parts of Belarus and Ukraine as well as in Central-Eastern Lithuania and Latvia. Because of the emigration from Poland during different time periods, most notably after World War II, millions of Polish speakers can be found in countries such as Canada, Argentina, Brazil, Israel, Australia, the United Kingdom and the United States.
"
117,586544,Santali language,25649,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/WIKITONGUES-_Sathi_speaking_Santhali.webm/50px--WIKITONGUES-_Sathi_speaking_Santhali.webm.jpg,WIKITONGUES-_Sathi_speaking_Santhali.webm,"



Santali (Ol Chiki: <span lang=""sat"" title=""Santali language text"">ᱥᱟᱱᱛᱟᱲᱤ), also known as Santhali, is the most widely spoken language of the Munda subfamily of the Austroasiatic languages, related to Ho and Mundari, spoken mainly in the Indian states of Assam, Bihar, Jharkhand, Mizoram, Odisha, Tripura and West Bengal. It is a recognised regional language of India per the Eighth Schedule of the Indian Constitution. It is spoken by around 7.6 million people in India, Bangladesh, Bhutan and Nepal, making it the third most-spoken Austroasiatic language after Vietnamese and Khmer.Santali was a mainly oral language until the development of Ol Chiki by Pandit Raghunath Murmu in 1925. Ol Chiki is alphabetic, sharing none of the syllabic properties of the other Indic scripts, and is now widely used to write Santali in India.
"
118,71836,Uzbek language,31285,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Uzbek_language.png/50px-Uzbek_language.png,Uzbek_language.png,"

Uzbek is a Turkic language that is the first official and only declared national language of Uzbekistan. The language of Uzbeks, it is spoken by some 27 million native speakers in Uzbekistan and elsewhere in Central Asia (2015), making it the second-most widely spoken Turkic language after Turkish.
Uzbek belongs to the Eastern Turkic or Karluk branch of the Turkic language family. External influences include Arabic, Persian and Russian. One of the most noticeable distinctions of Uzbek from other Turkic languages is the rounding of the vowel <span title=""Representation in the International Phonetic Alphabet (IPA)"">/ɑ/ to <span title=""Representation in the International Phonetic Alphabet (IPA)"">/ɔ/, a feature that was influenced by Persian. As with its sister Karluk language Uyghur, vowel harmony is somewhat less strictly observed compared to other Turkic languages.
"
119,47862321,Waray language,22856,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Waray-Waray_language_map.png/31px-Waray-Waray_language_map.png,Waray-Waray_language_map.png,"Waray is an Austronesian language and the fifth-most-spoken native regional language of the Philippines, native to Eastern Visayas. It is the native language of the Waray people and second language of the Abaknon people of Capul, Northern Samar and some Cebuano-speaking peoples of eastern and southern parts of Leyte island. It is the third most spoken language among the Bisayan languages, only behind Cebuano and Hiligaynon.
"
120,18940550,Albanian language,141593,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Albanian_dialects.svg/50px-Albanian_dialects.svg.png,Albanian_dialects.svg,"Albanian is an Indo-European language spoken by the Albanians in the Balkans and the Albanian diaspora in the Americas, Europe and Oceania. With about 7.5 million speakers, it comprises an independent branch within the Indo-European languages and is not closely related to any other language.First attested in the 15th century, it is the last Indo-European branch to appear in written records. This is one of the reasons why its still-unknown origin has long been a matter of dispute among linguists and historians. Albanian is considered to be the descendant of one of the Paleo-Balkan languages of antiquity. For more historical and geographical reasons than specifically linguistic ones, there are various modern historians and linguists who believe that the Albanian language may have descended from a southern Illyrian dialect spoken in much the same region in classical times. Alternative hypotheses hold that Albanian may have descended from Thracian or Daco-Moesian, other ancient languages spoken farther east than Illyrian.
Not enough is known of these languages to completely prove or disprove the various hypotheses.The two main Albanian dialects, Gheg and Tosk, are primarily distinguished by phonological differences and are mutually intelligible, with Gheg spoken to the north and Tosk spoken to the south of the Shkumbin river. Their characteristics in the treatment of both native words and loanwords indicate the dialectal split occurred after Christianisation of the region (4th century AD) and at the time of the Slavic migration to the Balkans, with the historic boundary between Gheg and Tosk being the Shkumbin which straddled the Jireek line. Standard Albanian is a standardised form of spoken Albanian based on the Tosk dialect. It is the official language of Albania and Kosovo and a co-official language in North Macedonia as well as a minority language of Italy, Montenegro, Romania and Serbia.
Centuries-old communities speaking Albanian dialects can be found scattered in Croatia (the Arbanasi), Greece (the Arvanites and some communities in Epirus, Western Macedonia and Western Thrace), Italy (the Arb�resh�) as well as in Romania, Turkey and Ukraine. Two varieties of the Tosk dialect, Arvanitika in Greece and Arb�resh in Southern Italy, have preserved archaic elements of the language."
121,153500,Bavarian language,19075,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Austro_Bavarian_Languages-01.png/50px-Austro_Bavarian_Languages-01.png,Austro_Bavarian_Languages-01.png,"Austrian-Bavarian (also known as Bavarian German, Austrian or Bavarian; (listen)) is a major group of Upper German varieties spoken in the southeast of the German language area, much of Bavaria, most of Austria and South Tyrol in Italy, as well as Samnaun in Switzerland. Before 1945, Austrian-Bavarian was also prevalent in parts of the southern Czech Republic and western Hungary. Bavarian forms a continuum of more or less mutually intelligible local and regional variants.
Austrian-Bavarian has been listed as an ""individual language"" in the ISO 693-3 standard.


"
122,763205,Canaanite languages,12533,,,"The Canaanite languages, or Canaanite dialects, are one of the three subgroups of the Northwest Semitic languages, the others being Aramaic and Ugaritic. They are attested in Canaanite inscriptions throughout the Mediterranean region. Dialects have been labelled primarily with reference to Biblical geography: Hebrew, Phoenician/Carthaginian, Amorite, Ammonite, Ekronite, Moabite and Edomite; the dialects were all mutually intelligible, being no more differentiated than geographical varieties of Modern English. This family of languages has the distinction of being the first historically attested group of languages to use an alphabet, derived from the Proto-Canaanite alphabet, to record their writings, as opposed to the far earlier Cuneiform logographic/syllabic writing of the region.
They were spoken by the ancient Semitic people of the Canaan and Levant regions, an area encompassing what is today Israel, Jordan, Sinai, Lebanon, Syria, the Palestinian territories and also some fringe areas of southwestern Turkey, southwestern Iraq and the northern Arabian Peninsula. The Canaanites are broadly define to include the Hebrews, Amalekites, Ammonites, Amorites, Edomites, Ekronites, Israelites (including Judeans and Samaritans), Phoenicians (including the Carthaginians), Moabites and Suteans. Although the Amorites are included among the Canaanite peoples, their language is sometimes not considered to be a Canaanite language but closely related. 
The Canaanite languages continued to be everyday spoken languages until at least the 4th century CE. Hebrew is the only living Canaanite language today. It remained in continuous use by many Jews well into the Middle Ages as both a liturgical and literary language and was used for commerce between disparate diasporic Jewish communities. It has also remained a liturgical language among Samaritans. Hebrew was revived by Jewish political and cultural activists, particularly through the revitalization and cultivation efforts of zionists throughout Europe and in Palestine, as an everyday spoken language in the late 19th and early 20th centuries. By the mid-20th century, Modern Hebrew had become the primary language of the Jews of Palestine and was later made the official language of the State of Israel. 
The primary reference for extra-biblical Canaanite inscriptions, together with Aramaic inscriptions, is the German-language book Kanaanäische und Aramäische Inschriften, from which inscriptions are often referenced as KAI n (for a number n)."
123,1359862,Dagbani language,11192,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/WIKITONGUES-_Mohammed_speaking_Dagbani.webm/50px--WIKITONGUES-_Mohammed_speaking_Dagbani.webm.jpg,WIKITONGUES-_Mohammed_speaking_Dagbani.webm,"Dagbani (or Dagbane), also known as Dagbanli and Dagbanle, is a Gur language spoken in Ghana. Its native speakers are estimated around 1,160,000 (2013). It is a compulsory subject in primary and junior high school in the Dagbon Kingdom, which covers the eastern part of the region. Dagbani is the most widely spoken language in northern Ghana, especially among acephalous tribes overseen by the King of Dagbon, the Ya-Na.
It is closely related to and mutually intelligible with the Mampelle language, also spoken in Northern Region, Ghana. Dagbani is also similar to the other languages of the same subgroup spoken in this Region, the Dagaare and Waala languages, spoken in Upper West Region of Ghana, and the Frafra language, spoken in Upper East Region of Ghana."
124,12469,Goidelic languages,26284,,,"


The Goidelic or Gaelic languages (Irish: <i lang=""ga"">teangacha Gaelacha; Scottish Gaelic: <i lang=""gd"">cànanan Goidhealach; Manx: <i lang=""gv"">çhengaghyn Gaelgagh) form one of the two groups of Insular Celtic languages, the other being the Brittonic languages.Goidelic languages historically formed a dialect continuum stretching from Ireland through the Isle of Man to Scotland. There are three modern Goidelic languages: Irish (<i lang=""ga"" title=""Irish language text"">Gaeilge), Scottish Gaelic (<i lang=""gd"" title=""Scottish Gaelic language text"">Gàidhlig), and Manx (<i lang=""gv"" title=""Manx language text"">Gaelg). Manx died out in the 20th century but has since been revived to some degree.


"
125,47862299,Hiligaynon language,46600,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Hiligaynon_language_map.png/32px-Hiligaynon_language_map.png,Hiligaynon_language_map.png,"The Hiligaynon language, also often referred colloquially to by most of its speakers simply as Ilonggo, is an Austronesian regional language spoken in the Philippines by about 9.1 million people, mainly in Western Visayas and Soccsksargen, most of whom belong to the Hiligaynon people. It is the second-most widely spoken language in the Visayas and belongs to the Bisayan languages, and is more distantly related to other Philippine languages.
The language is also often referred to as Ilonggo (Spanish: Ilongo) in Iloilo and Negros Occidental. Many speakers outside Iloilo argue, however, that this is an incorrect usage of the word ""Ilonggo"". In precise usage, ""Ilonggo"" should be used only in relation to the ethnolinguistic group of native inhabitants of Iloilo and the culture associated with native Hiligaynon speakers in the place including their language. The disagreement over the usage of ""Ilonggo"" to refer to the language extends to Philippine language specialists and native laypeople.It also has the one of the largest native language-speaking population of the Philippines despite not being taught and studied formally in schools and universities until 2012. Hiligaynon is given the ISO 639-2 three-letter code hil, but has no ISO 639-1 two-letter code.
Hiligaynon is mainly concentrated in the regions of Western Visayas (Iloilo, Capiz, Guimaras, and Negros Occidental), as well as in South Cotabato, Sultan Kudarat, and North Cotabato in Soccsksargen. It is also spoken in other neighboring provinces, such as Antique and Aklan (also in Western Visayas), Negros Oriental in Central Visayas, Masbate in Bicol Region, Romblon and Palawan in Mimaropa. It is also spoken as a second language by Kinaray-a speakers in Antique, Aklanon/Malaynon speakers in Aklan, Capiznon speakers in Capiz and Cebuano speakers in Negros Oriental. There are approximately 9,300,000 people in and out of the Philippines who are native speakers of Hiligaynon and an additional 5,000,000 capable of speaking it with a substantial degree of proficiency."
126,19872429,Irish language,106149,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Irish_speakers_in_2011.png/39px-Irish_speakers_in_2011.png,Irish_speakers_in_2011.png,"



Irish (Standard Irish: <i lang=""ga"" title=""Irish language text"">Gaeilge), also known in English as Gaelic is a Goidelic language of the Insular Celtic branch of the Celtic language family, itself a part of the Indo-European language family. Irish originated on the island of Ireland and was the language of most of the population until the late 18th century. Although English has been the first language of most residents of both island and country since the early 19th century, Irish is spoken as a first language in broad areas of counties Galway, Kerry, Cork and Donegal, as well as smaller areas of Waterford, Mayo and Meath. It is also spoken by a larger group of habitual but non-traditional speakers, mostly in urban areas where the majority are second language speakers. Daily users outside the education system number around 73,000, and over 1.85 million people across the island claim some ability with the language.
Irish was the dominant language of the Irish people for most of their recorded history and they took it with them to other regions, notably Scotland and the Isle of Man, where Middle Irish gave rise to Scottish Gaelic and, blended with Norse tongues, Manx, respectively. It was also spoken for a period in Newfoundland, in what became Canada. 
With a basic written form dating back to at least the 4th century CE, and written Irish in a Latinic script since the 5th century, Irish has the oldest vernacular literature in Western Europe. On the island of Ireland the language has three major dialects - Munster, Connacht and Ulster - with distinctions in both speech and orthography. There is also a ""standard written form"" devised by a parliamentary commission in the 1950s. The distinct Irish alphabet, a variant of the Latin alphabet with 18 letters, has been succeeded by the standard Latin alphabet, albeit with 7-8 letters used primarily in loanwords.
Irish has constitutional status as the national and first official language of the Republic of Ireland and is an officially recognised minority language in Northern Ireland. It is also among the official languages of the European Union. The public body Foras na Gaeilge is responsible for the promotion of the language throughout the island of Ireland. Irish has no regulatory body but the standard modern written form is guided by a parliamentary service and new vocabulary by a voluntary committee with university input.
"
127,1386585,Jamaican Patois,37304,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/WIKITONGUES-_Omar_Speaking_English_and_Jamaican_Patois.webm/50px--WIKITONGUES-_Omar_Speaking_English_and_Jamaican_Patois.webm.jpg,WIKITONGUES-_Omar_Speaking_English_and_Jamaican_Patois.webm,"Jamaican Patois, known locally as Patois (Patwa or Patwah) and called Jamaican Creole by linguists, is an English-based creole language with West African influences (a majority of non-English loan words of Akan origin) spoken primarily in Jamaica and among the Jamaican diaspora; it is spoken by the majority of Jamaicans as a native language. Patois developed in the 17th century when slaves from West and Central Africa were exposed to, learned and nativized the vernacular and dialectal forms of English spoken by the slaveholders: British English, Scots, and Hiberno-English. Jamaican Creole exhibits a gradation between more conservative creole forms that are not significantly mutually intelligible with English, and forms virtually identical to Standard English.Jamaicans refer to their language as Patois, a term also used as a lower-case noun as a catch-all description of pidgins, creoles, dialects, and vernaculars. Creoles, including Jamaican Patois, are often stigmatized as a ""lesser"" language even when the majority of a local population speaks them as their mother tongue.Jamaican pronunciation and vocabulary are significantly different from English despite heavy use of English words or derivatives, but their writing system shows commonalities with the English alphabet.Significant Jamaican Patois-speaking communities exist among Jamaican expatriates in Miami, New York City, Toronto, Hartford, Washington, D.C., Nicaragua, Costa Rica, and Panama (in the Caribbean coast), also London, Birmingham, Manchester, and Nottingham. A mutually intelligible variety is found in San Andrés y Providencia Islands, Colombia, brought to the island by descendants of Jamaican Maroons (escaped slaves) in the 18th century. Mesolectal forms are similar to very basilectal Belizean Kriol.
Jamaican Patois exists mostly as a spoken language and is also heavily used for musical purposes, especially in reggae and dancehall as well as other genres. Although standard British English is used for most writing in Jamaica, Jamaican Patois has been gaining ground as a literary language for almost a hundred years. Claude McKay published his book of Jamaican poems Songs of Jamaica in 1912. Patois and English are frequently used for stylistic contrast (codeswitching) in new forms of Internet writing."
128,16756,Korean language,79095,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hangugeo-Chosonmal.svg/35px-Hangugeo-Chosonmal.svg.png,Hangugeo-Chosonmal.svg,"

Korean (South Korean: <span lang=""ko"" title=""Korean language text"">한국어/<span lang=""ko"" title=""Korean language text"">韓國語 hangugeo; North Korean: <span lang=""ko"" title=""Korean language text"">조선말/<span lang=""ko"" title=""Korean language text"">朝鮮말 chosŏnmal) is an East Asian language spoken by about 77 million people. It is the official and national language of both Koreas: North Korea and South Korea, with different standardized official forms used in each country. It is a recognised minority language in the Yanbian Korean Autonomous Prefecture and Changbai Korean Autonomous County of Jilin province, China. It is also spoken in parts of Sakhalin, Russia, and Central Asia.Historical and modern linguists classify Korean as a language isolate; however, it does have a few extinct relatives, which together with Korean itself and the Jeju language (spoken in the Jeju Province and considered somewhat distinct) form the Koreanic language family. The linguistic homeland of Korean is suggested to be somewhere in Manchuria.


"
129,18614,Language acquisition,90891,,,"Language acquisition is the process by which humans acquire the capacity to perceive and comprehend language (in other words, gain the ability to be aware of language and to understand it), as well as to produce and use words and sentences to communicate.
Language acquisition involves structures, rules and representation. The capacity to successfully use language requires one to acquire a range of tools including phonology, morphology, syntax, semantics, and an extensive vocabulary. Language can be vocalized as in speech, or manual as in sign. Human language capacity is represented in the brain. Even though human language capacity is finite, one can say and understand an infinite number of sentences, which is based on a syntactic principle called recursion. Evidence suggests that every individual has three recursive mechanisms that allow sentences to go indeterminately. These three mechanisms are: relativization, complementation and coordination.There are two main guiding principles in first-language acquisition: speech perception always precedes speech production, and the gradually evolving system by which a child learns a language is built up one step at a time, beginning with the distinction between individual phonemes.Linguists who are interested in child language acquisition have for many years questioned how language is acquired. Lidz et al. state ""The question of how these structures are acquired, then, is more properly understood as the question of how a learner takes the surface forms in the input and converts them into abstract linguistic rules and representations.""Language acquisition usually refers to first-language acquisition, which studies infants' acquisition of their native language, whether that be spoken language or signed language as a result of prelingual deafness, though it can also refer to bilingual first language acquisition (BFLA), which refers to an infant's simultaneous acquisition of two native languages. This is distinguished from second-language acquisition, which deals with the acquisition (in both children and adults) of additional languages. In addition to speech, reading and writing a language with an entirely different script compounds the complexities of true foreign language literacy. Language acquisition is one of the quintessential human traits."
